[2026-07-27 12:02:45] 準備下載 6 章（3 版本 × 2 卷），間隔 1.00s，gb=0
[2026-07-27 12:02:52] 進度 6/6｜新增 6 跳過 0 失敗 0｜約剩 0 分
[2026-07-27 12:02:53] 完成：新增 6、跳過 0、失敗 0（共 6）
[2026-07-27 12:03:40] 準備下載 3567 章（3 版本 × 66 卷），間隔 1.50s，gb=0
[2026-07-29 09:57:23] 完成：新增 301、跳過 0、失敗 0（共 301）
[2026-07-29 09:57:26] 進度 612/628｜新增 325 跳過 287 失敗 0｜約剩 0 分
[2026-07-29 09:57:32] 進度 628/628｜新增 341 跳過 287 失敗 0｜約剩 0 分
[2026-07-29 09:57:32] 完成：新增 341、跳過 287、失敗 0（共 628）
[2026-07-29 10:15:49] 準備下載 1256 章（2 版本 × 19 卷），間隔 0.05s，gb=0
[2026-07-29 10:15:55] 準備下載 602 章（2 版本 × 20 卷），間隔 0.05s，gb=0
[2026-07-29 10:15:59] 進度 25/1256｜新增 25 跳過 0 失敗 0｜約剩 1 分
[2026-07-29 10:16:03] 準備下載 380 章（2 版本 × 14 卷），間隔 0.05s，gb=0
[2026-07-29 10:16:05] 進度 25/602｜新增 25 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 10:16:09] 進度 50/1256｜新增 50 跳過 0 失敗 0｜約剩 1 分
[2026-07-29 10:16:10] 準備下載 140 章（2 版本 × 13 卷），間隔 0.05s，gb=0
[2026-07-29 10:16:13] 進度 25/380｜新增 25 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 10:16:15] 進度 50/602｜新增 50 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 10:16:19] 進度 75/1256｜新增 75 跳過 0 失敗 0｜約剩 1 分
[2026-07-29 10:16:20] 進度 25/140｜新增 25 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 10:16:24] 進度 50/380｜新增 50 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 10:16:24] 進度 75/602｜新增 75 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 10:16:29] 進度 100/1256｜新增 100 跳過 0 失敗 0｜約剩 1 分
[2026-07-29 10:16:29] 進度 50/140｜新增 50 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 10:16:35] 進度 100/602｜新增 100 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 10:16:37] 進度 75/380｜新增 75 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 10:16:48] 進度 75/140｜新增 75 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 10:16:49] 進度 125/1256｜新增 125 跳過 0 失敗 0｜約剩 1 分
[2026-07-29 10:17:00] 進度 125/602｜新增 125 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 10:17:04] 進度 100/380｜新增 100 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 10:17:13] 進度 100/140｜新增 100 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 10:17:15] 進度 150/1256｜新增 150 跳過 0 失敗 0｜約剩 1 分
